Baldwin County,AL-501
Calhoun County,AL-505
Cullman County,AL-507
DeKalb County,AL-505
Elmore County,AL-504
Etowah County,AL-505
Houston County,AL-507
Jefferson County,AL-500
Lauderdale County,AL-502
Lee County,AL-507
Limestone County,AL-503
Madison County,AL-503
Marshall County,AL-507
Mobile County,AL-501
Montgomery County,AL-504
Morgan County,AL-503
St. Clair County,AL-500
Shelby County,AL-500
Talladega County,AL-507
Tuscaloosa County,AL-506
Walker County,AL-507
Anchorage Municipality,AK-500
Fairbanks North Star Borough,AK-501
Matanuska-Susitna Borough,AK-501
Apache County,AZ-500
Cochise County,AZ-500
Coconino County,AZ-500
Maricopa County,AZ-502
Mohave County,AZ-500
Navajo County,AZ-500
Pima County,AZ-501
Pinal County,AZ-500
Yavapai County,AZ-500
Yuma County,AZ-500
Benton County,AR-501
Craighead County,AR-503
Faulkner County,AR-500
Garland County,AR-500
Jefferson County,AR-505
Lonoke County,AR-500
Pulaski County,AR-500
Saline County,AR-500
Sebastian County,AR-508
Washington County,AR-501
White County,AR-500
Alameda County,CA-502
Butte County,CA-519
Contra Costa County,CA-505
El Dorado County,CA-525
Fresno County,CA-514
Humboldt County,CA-522
Imperial County,CA-613
Kern County,CA-604
Kings County,CA-513
Lake County,CA-529
Los Angeles County,CA-600 / CA-606
Madera County,CA-514
Marin County,CA-507
Mendocino County,CA-509
Merced County,CA-520
Monterey County,CA-506
Napa County,CA-517
Nevada County,CA-531
Orange County,CA-602
Placer County,CA-515
Riverside County,CA-608
Sacramento County,CA-503
San Bernardino County,CA-609
San Diego County,CA-601
San Francisco County,CA-501
San Joaquin County,CA-511
San Luis Obispo County,CA-614
San Mateo County,CA-512
Santa Barbara County,CA-603
Santa Clara County,CA-500
Santa Cruz County,CA-508
Shasta County,CA-516
Solano County,CA-518
Sonoma County,CA-504
Stanislaus County,CA-510
Sutter County,CA-524
Tulare County,CA-513
Ventura County,CA-611
Yolo County,CA-521
Yuba County,CA-524
Adams County,CO-503
Arapahoe County,CO-503
Boulder County,CO-503
Denver County,CO-503
Douglas County,CO-503
El Paso County,CO-504
Jefferson County,CO-503
Larimer County,CO-505
Mesa County,CO-500
Pueblo County,CO-500
Weld County,CO-505
Fairfield County,CT-503
Hartford County,CT-505
Litchfield County,CT-505
Middlesex County,CT-505
New Haven County,CT-505
New London County,CT-505
Tolland County,CT-505
Windham County,CT-505
Kent County,DE-500
New Castle County,DE-500
Sussex County,DE-500
District of Columbia,DC-500
Alachua County,FL-508
Bay County,FL-515
Brevard County,FL-513
Broward County,FL-601
Charlotte County,FL-602
Citrus County,FL-520
Clay County,FL-510
Collier County,FL-606
Columbia County,FL-518
Duval County,FL-510
Escambia County,FL-511
Flagler County,FL-504
Hernando County,FL-520
Highlands County,FL-517
Hillsborough County,FL-501
Indian River County,FL-509
Lake County,FL-520
Lee County,FL-603
Leon County,FL-506
Manatee County,FL-500
Marion County,FL-514
Martin County,FL-509
Miami-Dade County,FL-600
Monroe County,FL-604
Nassau County,FL-510
Okaloosa County,FL-505
Orange County,FL-507
Osceola County,FL-507
Palm Beach County,FL-605
Pasco County,FL-519
Pinellas County,FL-502
