CoC-Code,Year,Overall Homeless,Overall Chronically Homeless,Unsheltered Homeless,Sheltered Total Homeless,Sheltered ES Homeless,Sheltered TH Homeless,Sheltered SH Homeless,Total Funding,ttl_population,Median Rent,ttl_extreme_poverty,ttl_poverty,Total_Housing_Units,Vacant_Units,pct_change_homeless
AZ-502,2014,5918.0,403.0,1053.0,4865.0,2558.0,2282.0,25.0,26955002.0,3895963.0,952.0,1425611.0,666748.0,1657753.0,233509.0,0.0
AZ-502,2015,5631.0,480.0,1289.0,4342.0,2004.0,2313.0,25.0,26386235.0,3965553.0,962.0,320941.0,673527.0,1668555.0,226037.0,-4.849611355187566
AZ-502,2016,5702.0,745.0,1646.0,4056.0,2362.0,1669.0,25.0,26882333.0,4035348.0,989.0,321331.0,666513.0,1680412.0,214572.0,1.2608772864500128
AZ-502,2017,5605.0,939.0,2059.0,3546.0,2254.0,1271.0,21.0,25418465.0,4101308.0,1033.0,306333.0,644476.0,1699628.0,210095.0,-1.701157488600491
AZ-502,2018,6298.0,974.0,2618.0,3680.0,2099.0,1555.0,26.0,25888759.0,4198378.0,1079.0,289648.0,618496.0,1719157.0,198390.0,12.36396074933095
AZ-502,2019,6614.0,962.0,3188.0,3426.0,1975.0,1406.0,45.0,27746647.0,4272832.0,1127.0,274071.0,588350.0,1740694.0,188598.0,5.017465862178461
AZ-502,2020,7419.0,1052.0,3767.0,3652.0,2172.0,1434.0,46.0,28412341.0,4353138.0,1182.0,257624.0,553661.0,1765880.0,169096.0,12.171152101602667
AZ-502,2021,3650.0,588.0,0.0,3650.0,2398.0,1212.0,40.0,33039654.0,4308734.0,1275.0,242739.0,518951.0,1794248.0,162097.0,-50.80199487801591
AZ-502,2022,9026.0,1287.0,5029.0,3997.0,2796.0,1158.0,43.0,35726942.0,4368048.0,1437.0,244935.0,503565.0,1821463.0,155903.0,147.2876712328767
AZ-502,2023,9642.0,1906.0,4908.0,4734.0,3668.0,1028.0,38.0,36265956.0,4425433.0,1587.0,251825.0,497877.0,1850862.0,153520.0,6.824728561932192
AZ-502,2024,9435.0,2135.0,4076.0,5359.0,4174.0,1151.0,34.0,46542337.0,4489967.0,1708.0,258703.0,492910.0,1884334.0,153638.0,-2.14685749844431
CA-500,2014,7567.0,2535.0,5674.0,1893.0,819.0,1065.0,9.0,11069996.0,1814339.0,1637.0,422167.0,180153.0,640439.0,25725.0,0.0
CA-500,2015,6556.0,2207.0,4627.0,1929.0,807.0,1113.0,9.0,11486738.0,1840035.0,1705.0,84197.0,175690.0,646190.0,24727.0,-13.360644905510766
CA-500,2016,6524.0,2146.0,4627.0,1897.0,777.0,1110.0,10.0,9959081.0,1856096.0,1813.0,84292.0,172213.0,651905.0,25326.0,-0.48810250152532264
CA-500,2017,7394.0,2097.0,5448.0,1946.0,1140.0,806.0,0.0,9313587.0,1881436.0,1955.0,81465.0,162525.0,658409.0,27958.0,13.33537706928265
CA-500,2018,7254.0,2139.0,5448.0,1806.0,1151.0,635.0,20.0,4960175.0,1891976.0,2126.0,75242.0,149850.0,665365.0,29840.0,-1.893427103056533
CA-500,2019,9706.0,2471.0,7922.0,1784.0,1080.0,687.0,17.0,4741100.0,1896320.0,2268.0,70936.0,142534.0,672495.0,32280.0,33.80204025365317
CA-500,2020,9605.0,2526.0,7922.0,1683.0,1245.0,419.0,19.0,29506119.0,1893555.0,2386.0,67602.0,135771.0,668896.0,33582.0,-1.040593447352156
CA-500,2021,2301.0,1028.0,0.0,2301.0,1960.0,324.0,17.0,31678024.0,1901844.0,2530.0,63177.0,126551.0,683510.0,36663.0,-76.04372722540343
CA-500,2022,10028.0,2838.0,7708.0,2320.0,2004.0,306.0,10.0,31236117.0,1886562.0,2719.0,67081.0,129834.0,688287.0,37935.0,335.81051716644936
CA-500,2023,9903.0,3833.0,7401.0,2502.0,2186.0,304.0,12.0,42667412.0,1871483.0,2814.0,66648.0,128470.0,694209.0,39742.0,-1.246509772636617
CA-500,2024,10394.0,4137.0,7401.0,2993.0,2691.0,298.0,4.0,39486518.0,1869227.0,2857.0,69986.0,132836.0,698837.0,39484.0,4.95809350701808
CA-501,2014,6408.0,2321.0,4315.0,2093.0,1522.0,517.0,54.0,2257675.0,815670.0,1533.0,230442.0,108328.0,380518.0,31686.0,0.0
CA-501,2016,6996.0,1932.0,4358.0,2638.0,2197.0,425.0,16.0,1487711.0,836561.0,1632.0,49447.0,104180.0,386755.0,29958.0,9.176029962546806
CA-501,2017,6858.0,2138.0,4353.0,2505.0,2056.0,434.0,15.0,755821.0,850547.0,1709.0,45906.0,99096.0,390376.0,31604.0,-1.9725557461406473
CA-501,2018,6857.0,1757.0,4353.0,2504.0,2011.0,474.0,19.0,770970.0,856426.0,1805.0,44604.0,92979.0,393975.0,34302.0,-0.014581510644506857
CA-501,2019,8035.0,3030.0,5180.0,2855.0,2412.0,425.0,18.0,772845.0,861359.0,1895.0,42363.0,89030.0,397812.0,35458.0,17.179524573428615
CA-501,2020,8124.0,2837.0,5180.0,2944.0,2471.0,473.0,0.0,47849533.0,861021.0,2010.0,43181.0,87125.0,398613.0,36472.0,1.107654013690107
CA-501,2021,4000.0,1668.0,0.0,4000.0,3588.0,412.0,0.0,52839360.0,852231.0,2130.0,44938.0,87874.0,404720.0,43498.0,-50.76317085179715
CA-501,2022,7754.0,2691.0,4397.0,3357.0,2933.0,424.0,0.0,51403408.0,837888.0,2316.0,45072.0,87849.0,408198.0,47356.0,93.85
CA-501,2023,7582.0,2520.0,4397.0,3185.0,2904.0,281.0,0.0,53021237.0,823358.0,2419.0,44856.0,87135.0,411542.0,48892.0,-2.218209956151662
CA-501,2024,8323.0,2989.0,4354.0,3969.0,3644.0,325.0,0.0,53794910.0,817138.0,2476.0,47680.0,91125.0,414602.0,50632.0,9.773146926932208
CA-502,2014,4272.0,1094.0,2337.0,1935.0,895.0,1040.0,0.0,6840973.0,1531346.0,1325.0,429814.0,197191.0,587071.0,35337.0,0.0
CA-502,2015,4040.0,750.0,2397.0,1643.0,794.0,849.0,0.0,6333892.0,1557087.0,1367.0,90031.0,194639.0,589858.0,30951.0,-5.4307116104868935
CA-502,2016,4145.0,753.0,2397.0,1748.0,892.0,856.0,0.0,6145370.0,1577618.0,1432.0,88232.0,189590.0,592796.0,28503.0,2.59900990099009
CA-502,2017,5629.0,1707.0,3863.0,1766.0,1022.0,744.0,0.0,5287271.0,1602357.0,1547.0,84216.0,181194.0,596898.0,27828.0,35.802171290711705
CA-502,2018,5496.0,1742.0,3863.0,1633.0,962.0,660.0,11.0,5663149.0,1617225.0,1674.0,82125.0,170884.0,601942.0,29072.0,-2.3627642565286933
CA-502,2019,8022.0,2236.0,6312.0,1710.0,1163.0,519.0,28.0,4739186.0,1630291.0,1797.0,80655.0,161581.0,608096.0,30919.0,45.96069868995634
CA-502,2020,8137.0,2437.0,6312.0,1825.0,1289.0,509.0,27.0,36369614.0,1635239.0,1904.0,76379.0,152060.0,605767.0,32593.0,1.4335577162802204
CA-502,2021,2546.0,950.0,0.0,2546.0,1963.0,566.0,17.0,39150229.0,1646476.0,2043.0,74307.0,146763.0,617045.0,35362.0,-68.71082708614968
CA-502,2022,9747.0,2728.0,7135.0,2612.0,2075.0,513.0,24.0,40087543.0,1637215.0,2229.0,77888.0,149843.0,622856.0,37038.0,282.8358208955224
CA-502,2023,9759.0,2805.0,7135.0,2624.0,1807.0,799.0,18.0,57331115.0,1624096.0,2318.0,76957.0,149752.0,630726.0,37609.0,0.12311480455524659
CA-502,2024,9450.0,3832.0,6343.0,3107.0,2271.0,825.0,11.0,51466942.0,1621569.0,2357.0,77440.0,149429.0,637212.0,38966.0,-3.1663080233630514
CA-503,2014,2449.0,422.0,786.0,1663.0,774.0,889.0,0.0,12620712.0,1427006.0,1035.0,543102.0,258031.0,558694.0,39234.0,0.0
CA-503,2015,2659.0,502.0,948.0,1711.0,931.0,780.0,0.0,18454283.0,1444720.0,1036.0,114677.0,262251.0,560271.0,37675.0,8.574928542262139
CA-503,2016,2500.0,540.0,948.0,1552.0,870.0,682.0,0.0,18873885.0,1458871.0,1065.0,114506.0,260877.0,562003.0,34668.0,-5.979691613388494
CA-503,2017,3665.0,1126.0,2052.0,1613.0,977.0,636.0,0.0,19247059.0,1474566.0,1122.0,107347.0,246203.0,564349.0,32299.0,46.599999999999994
CA-503,2018,3621.0,1192.0,2052.0,1569.0,1124.0,445.0,0.0,20180083.0,1489573.0,1184.0,103194.0,235982.0,567220.0,31191.0,-1.2005457025920818
CA-503,2019,5561.0,1641.0,3900.0,1661.0,1130.0,531.0,0.0,20915190.0,1504340.0,1252.0,97140.0,220713.0,570752.0,27727.0,53.57636012151339
CA-503,2020,5511.0,1727.0,3900.0,1611.0,1125.0,486.0,0.0,23349292.0,1517215.0,1333.0,93753.0,210174.0,572916.0,25397.0,-0.8991188635137592
CA-503,2021,1885.0,634.0,0.0,1885.0,1348.0,537.0,0.0,27063723.0,1550537.0,1434.0,95636.0,205590.0,583858.0,24822.0,-65.79568136454364
CA-503,2022,9278.0,4314.0,6664.0,2614.0,1979.0,635.0,0.0,29713497.0,1560173.0,1599.0,99114.0,204388.0,588894.0,25038.0,392.20159151193633
CA-503,2023,9281.0,4341.0,6664.0,2617.0,1986.0,631.0,0.0,30512102.0,1565333.0,1702.0,95460.0,197472.0,593616.0,25393.0,0.03233455486095771
