County,State,Overall Homeless 2024,Overall Chronically Homeless 2024,Unsheltered Homeless 2024,Sheltered Total Homeless 2024,Sheltered ES Homeless 2024,Sheltered TH Homeless 2024,Sheltered SH Homeless 2024,Overall Homeless 2023,Overall Chronically Homeless 2023,Unsheltered Homeless 2023,Sheltered Total Homeless 2023,Sheltered ES Homeless 2023,Sheltered TH Homeless 2023,Sheltered SH Homeless 2023,Overall Homeless 2022,Overall Chronically Homeless 2022,Unsheltered Homeless 2022,Sheltered Total Homeless 2022,Sheltered ES Homeless 2022,Sheltered TH Homeless 2022,Sheltered SH Homeless 2022,Overall Homeless 2021,Overall Chronically Homeless 2021,Unsheltered Homeless 2021,Sheltered Total Homeless 2021,Sheltered ES Homeless 2021,Sheltered TH Homeless 2021,Sheltered SH Homeless 2021,Overall Homeless 2020,Overall Chronically Homeless 2020,Unsheltered Homeless 2020,Sheltered Total Homeless 2020,Sheltered ES Homeless 2020,Sheltered TH Homeless 2020,Sheltered SH Homeless 2020,Overall Homeless 2019,Overall Chronically Homeless 2019,Unsheltered Homeless 2019,Sheltered Total Homeless 2019,Sheltered ES Homeless 2019,Sheltered TH Homeless 2019,Sheltered SH Homeless 2019,Overall Homeless 2018,Overall Chronically Homeless 2018,Unsheltered Homeless 2018,Sheltered Total Homeless 2018,Sheltered ES Homeless 2018,Sheltered TH Homeless 2018,Sheltered SH Homeless 2018,Overall Homeless 2017,Overall Chronically Homeless 2017,Unsheltered Homeless 2017,Sheltered Total Homeless 2017,Sheltered ES Homeless 2017,Sheltered TH Homeless 2017,Sheltered SH Homeless 2017,Overall Homeless 2016,Overall Chronically Homeless 2016,Unsheltered Homeless 2016,Sheltered Total Homeless 2016,Sheltered ES Homeless 2016,Sheltered TH Homeless 2016,Sheltered SH Homeless 2016,Overall Homeless 2015,Overall Chronically Homeless 2015,Unsheltered Homeless 2015,Sheltered Total Homeless 2015,Sheltered ES Homeless 2015,Sheltered TH Homeless 2015,Sheltered SH Homeless 2015,Overall Homeless 2014,Overall Chronically Homeless 2014,Unsheltered Homeless 2014,Sheltered Total Homeless 2014,Sheltered ES Homeless 2014,Sheltered TH Homeless 2014,Sheltered SH Homeless 2014,Median Rent 2024,Median Rent 2023,Median Rent 2022,Median Rent 2021,Median Rent 2020,Median Rent 2019,Median Rent 2018,Median Rent 2017,Median Rent 2016,Median Rent 2015,Median Rent 2014,ttl_extreme_poverty 2024,ttl_poverty 2024,ttl_population 2024,ttl_extreme_poverty 2023,ttl_poverty 2023,ttl_population 2023,ttl_extreme_poverty 2022,ttl_poverty 2022,ttl_population 2022,ttl_extreme_poverty 2021,ttl_poverty 2021,ttl_population 2021,ttl_extreme_poverty 2020,ttl_poverty 2020,ttl_population 2020,ttl_extreme_poverty 2019,ttl_poverty 2019,ttl_population 2019,ttl_extreme_poverty 2018,ttl_poverty 2018,ttl_population 2018,ttl_extreme_poverty 2017,ttl_poverty 2017,ttl_population 2017,ttl_extreme_poverty 2016,ttl_poverty 2016,ttl_population 2016,ttl_extreme_poverty 2015,ttl_poverty 2015,ttl_population 2015,ttl_extreme_poverty 2014,ttl_poverty 2014,ttl_population 2014,Total_Housing_Units 2024,Vacant_Units 2024,Total_Housing_Units 2023,Vacant_Units 2023,Total_Housing_Units 2022,Vacant_Units 2022,Total_Housing_Units 2021,Vacant_Units 2021,Total_Housing_Units 2020,Vacant_Units 2020,Total_Housing_Units 2019,Vacant_Units 2019,Total_Housing_Units 2018,Vacant_Units 2018,Total_Housing_Units 2017,Vacant_Units 2017,Total_Housing_Units 2016,Vacant_Units 2016,Total_Housing_Units 2015,Vacant_Units 2015,Total_Housing_Units 2014,Vacant_Units 2014,CoC-Code,Total Funding 2013,Total Funding 2014,Total Funding 2015,Total Funding 2016,Total Funding 2017,Total Funding 2018,Total Funding 2019,Total Funding 2020,Total Funding 2021,Total Funding 2022,Total Funding 2023
Ada County,ID,789,208,117,672,568,104,0,687.0,194.0,115.0,572.0,469.0,103.0,0.0,620.0,118.0,80.0,540.0,464.0,76.0,0.0,575.0,79.0,73.0,502.0,433.0,69.0,0.0,647.0,129.0,83.0,564.0,497.0,67.0,0.0,713.0,227.0,61.0,652.0,534.0,118.0,0.0,756.0,182.0,121.0,635.0,517.0,118.0,0.0,833.0,327.0,111.0,722.0,579.0,143.0,0.0,867.0,140.0,125.0,742.0,477.0,265.0,0.0,755.0,94.0,81.0,674.0,451.0,223.0,0.0,753.0,82.0,46.0,707.0,439.0,268.0,0.0,1577,1465,1320,1163,1062,995,950,910,871,856,844,20490.0,42159.0,505759.0,19994.0,42195.0,494706.0,19998.0,42460.0,484201.0,20481.0,43553.0,475109.0,20256.0,42870.0,461994.0,21980.0,48513.0,447269.0,21416.0,47982.0,437306.0,22336.0,50474.0,426925.0,23188.0,51101.0,417930.0,22217.0,50551.0,409361.0,126332.0,51340.0,401250.0,211440.0,8897.0,205068.0,8368.0,198516.0,7875.0,192132.0,7326.0,187116.0,7408.0,181533.0,8180.0,176693.0,7952.0,172399.0,8010.0,167739.0,7341.0,164992.0,7706.0,162766.0,8358.0,ID-500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adams County,CO,14281,3336,2919,11362,9878,1443,41,10054.0,2964.0,2763.0,7291.0,5774.0,1471.0,46.0,6884.0,2573.0,2078.0,4806.0,3464.0,1314.0,28.0,5530.0,1095.0,0.0,5530.0,4072.0,1426.0,32.0,6104.0,1867.0,1561.0,4543.0,2911.0,1582.0,50.0,5755.0,1158.0,946.0,4809.0,3096.0,1678.0,35.0,5317.0,1596.0,1308.0,4009.0,2574.0,1413.0,22.0,5506.0,1083.0,894.0,4612.0,2627.0,1960.0,25.0,5728.0,739.0,797.0,4931.0,2918.0,1967.0,46.0,5335.0,842.0,745.0,4590.0,2349.0,2217.0,24.0,6621.0,801.0,671.0,5950.0,2885.0,3042.0,23.0,1781,1713,1632,1470,1387,1346,1270,1172,1098,1039,1003,24405.0,51582.0,526053.0,23599.0,48994.0,520338.0,24834.0,49625.0,515939.0,23827.0,48959.0,510494.0,23074.0,49946.0,504760.0,22465.0,54159.0,499315.0,23612.0,56588.0,492541.0,22443.0,59050.0,483246.0,22546.0,61265.0,475099.0,24290.0,64241.0,466690.0,161007.0,64599.0,456829.0,195793.0,7063.0,191765.0,6801.0,187811.0,6600.0,183772.0,6892.0,173439.0,6149.0,173200.0,6750.0,171038.0,6685.0,169275.0,6767.0,166058.0,7310.0,165046.0,8418.0,164384.0,9337.0,CO-503,10078380.0,10899182.0,13775689.0,13830184.0,14288563.0,18102409.0,27901716.0,29363312.0,30064554.0,30714291.0,32836361.0
Adams County,IL,143,12,7,136,93,43,0,95.0,4.0,2.0,93.0,59.0,34.0,0.0,97.0,0.0,5.0,92.0,53.0,39.0,0.0,111.0,3.0,1.0,110.0,76.0,34.0,0.0,113.0,3.0,3.0,110.0,58.0,52.0,0.0,68.0,3.0,2.0,66.0,46.0,20.0,0.0,67.0,2.0,0.0,67.0,46.0,21.0,0.0,80.0,1.0,0.0,80.0,45.0,35.0,0.0,102.0,3.0,0.0,102.0,56.0,46.0,0.0,100.0,8.0,2.0,98.0,55.0,43.0,0.0,145.0,6.0,5.0,140.0,60.0,80.0,0.0,828,826,782,713,692,713,670,612,590,,588,3631.0,8084.0,62964.0,3842.0,7788.0,63538.0,3448.0,7731.0,64113.0,3185.0,7703.0,64573.0,3477.0,8000.0,64256.0,3447.0,8031.0,64506.0,3390.0,7874.0,64844.0,3692.0,8513.0,65162.0,3154.0,8457.0,65315.0,3503.0,9433.0,65489.0,21771.0,9415.0,65416.0,30302.0,2387.0,30283.0,2513.0,30226.0,2736.0,30225.0,3051.0,30226.0,3027.0,30192.0,3080.0,30202.0,2902.0,30167.0,2706.0,29991.0,2751.0,29976.0,3093.0,29907.0,3041.0,IL-519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adams County,PA,2262,226,492,1770,1362,408,0,2024.0,272.0,287.0,1737.0,1301.0,436.0,0.0,2290.0,154.0,314.0,1976.0,1586.0,390.0,0.0,1396.0,57.0,0.0,1396.0,957.0,439.0,0.0,2032.0,117.0,366.0,1666.0,1147.0,519.0,0.0,1843.0,142.0,337.0,1506.0,1061.0,445.0,0.0,1998.0,91.0,346.0,1652.0,1032.0,620.0,0.0,2170.0,156.0,405.0,1765.0,1004.0,761.0,0.0,2599.0,159.0,603.0,1996.0,1061.0,935.0,0.0,2410.0,164.0,416.0,1994.0,1029.0,965.0,0.0,2021.0,139.0,235.0,1786.0,861.0,925.0,0.0,1115,1084,1060,973,932,922,910,871,847,838,844,4467.0,8336.0,101730.0,4400.0,8439.0,100770.0,3930.0,7909.0,100237.0,3581.0,7731.0,99662.0,3608.0,7822.0,98458.0,3048.0,7622.0,98301.0,3853.0,8597.0,97867.0,4079.0,8548.0,97347.0,4017.0,9117.0,97366.0,3687.0,8715.0,97392.0,25022.0,9668.0,97195.0,43672.0,2831.0,43377.0,2966.0,43118.0,3112.0,42848.0,2940.0,42525.0,2897.0,42292.0,2947.0,42068.0,2847.0,41819.0,3001.0,41344.0,3075.0,41235.0,3042.0,41078.0,3122.0,PA-509,5334439.0,5374551.0,10317795.0,10600144.0,11411792.0,11947388.0,14065097.0,14491899.0,17438185.0,23445945.0,23780281.0
Aiken County,SC,1423,344,379,1044,764,262,18,1165.0,320.0,209.0,956.0,725.0,231.0,0.0,987.0,265.0,226.0,761.0,548.0,213.0,0.0,938.0,120.0,243.0,695.0,495.0,200.0,0.0,1140.0,271.0,266.0,874.0,634.0,240.0,0.0,1215.0,277.0,292.0,923.0,619.0,304.0,0.0,1205.0,248.0,200.0,1005.0,726.0,279.0,0.0,1200.0,295.0,307.0,893.0,585.0,308.0,0.0,1350.0,313.0,335.0,1015.0,554.0,461.0,0.0,1468.0,319.0,402.0,1066.0,574.0,492.0,0.0,1588.0,62.0,426.0,1162.0,693.0,469.0,0.0,1062,1031,973,892,840,819,794,767,733,696,705,11977.0,24601.0,171557.0,11226.0,23440.0,169202.0,11718.0,23653.0,167009.0,9340.0,21943.0,165389.0,9686.0,23070.0,167014.0,11407.0,24721.0,165492.0,11695.0,26420.0,164182.0,12049.0,27183.0,162950.0,12739.0,28253.0,162435.0,13006.0,29126.0,161059.0,62484.0,29425.0,160233.0,80008.0,10092.0,78715.0,10109.0,77577.0,9673.0,76584.0,9604.0,77606.0,9340.0,76776.0,9178.0,75934.0,9224.0,75249.0,9546.0,74101.0,9646.0,73649.0,9943.0,73225.0,9616.0,SC-502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alachua County,FL,752,232,444,308,270,38,0,1006.0,119.0,698.0,308.0,260.0,48.0,0.0,925.0,223.0,587.0,338.0,282.0,56.0,0.0,677.0,179.0,364.0,313.0,264.0,49.0,0.0,880.0,225.0,601.0,279.0,219.0,60.0,0.0,804.0,261.0,498.0,306.0,251.0,55.0,0.0,756.0,272.0,433.0,323.0,272.0,51.0,0.0,819.0,291.0,446.0,373.0,304.0,69.0,0.0,844.0,265.0,425.0,419.0,291.0,128.0,0.0,870.0,395.0,553.0,317.0,129.0,188.0,0.0,1256.0,471.0,888.0,368.0,161.0,207.0,0.0,1339,1255,1191,1082,1004,983,958,916,885,871,883,31176.0,56741.0,268068.0,30470.0,52015.0,264520.0,30782.0,53070.0,262950.0,29688.0,52902.0,262920.0,30960.0,52647.0,254198.0,31003.0,53601.0,251017.0,31454.0,54072.0,248131.0,33644.0,57060.0,244554.0,35237.0,58387.0,241136.0,36375.0,58203.0,239104.0,102479.0,60066.0,236834.0,127731.0,10945.0,125702.0,12926.0,123751.0,15154.0,121832.0,16829.0,118861.0,16882.0,117415.0,19420.0,116289.0,19241.0,115282.0,17797.0,114195.0,17859.0,113659.0,16956.0,113315.0,17178.0,FL-508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alamance County,NC,4180,573,2127,2053,1752,301,0,3311.0,253.0,1314.0,1997.0,1712.0,285.0,0.0,2491.0,271.0,776.0,1715.0,1445.0,270.0,0.0,1520.0,138.0,0.0,1520.0,1233.0,287.0,0.0,3185.0,324.0,996.0,2189.0,1719.0,470.0,0.0,2989.0,299.0,850.0,2139.0,1716.0,423.0,0.0,2991.0,485.0,968.0,2023.0,1680.0,343.0,0.0,3054.0,382.0,952.0,2102.0,1682.0,420.0,0.0,2963.0,348.0,835.0,2128.0,1682.0,446.0,0.0,3021.0,360.0,660.0,2361.0,1827.0,534.0,0.0,3195.0,415.0,687.0,2508.0,1813.0,695.0,0.0,1064,1007,959,875,822,813,798,774,757,745,743,8762.0,22876.0,171342.0,9540.0,23943.0,169230.0,10315.0,23763.0,167137.0,10281.0,23671.0,164869.0,11035.0,24893.0,161433.0,10542.0,25621.0,158887.0,10444.0,26264.0,156158.0,10201.0,26996.0,153649.0,10519.0,28123.0,152236.0,11281.0,29042.0,151210.0,61366.0,28098.0,149641.0,77073.0,7011.0,75456.0,7015.0,74055.0,6685.0,72651.0,6340.0,71718.0,6263.0,70644.0,6205.0,69749.0,5690.0,69049.0,6014.0,68211.0,6158.0,67804.0,6259.0,67487.0,6441.0,NC-503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alameda County,CA,9450,3832,6343,3107,2271,825,11,9759.0,2805.0,7135.0,2624.0,1807.0,799.0,18.0,9747.0,2728.0,7135.0,2612.0,2075.0,513.0,24.0,2546.0,950.0,0.0,2546.0,1963.0,566.0,17.0,8137.0,2437.0,6312.0,1825.0,1289.0,509.0,27.0,8022.0,2236.0,6312.0,1710.0,1163.0,519.0,28.0,5496.0,1742.0,3863.0,1633.0,962.0,660.0,11.0,5629.0,1707.0,3863.0,1766.0,1022.0,744.0,0.0,4145.0,753.0,2397.0,1748.0,892.0,856.0,0.0,4040.0,750.0,2397.0,1643.0,794.0,849.0,0.0,4272.0,1094.0,2337.0,1935.0,895.0,1040.0,0.0,2357,2318,2229,2043,1904,1797,1674,1547,1432,1367,1325,77440.0,149429.0,1621569.0,76957.0,149752.0,1624096.0,77888.0,149843.0,1637215.0,74307.0,146763.0,1646476.0,76379.0,152060.0,1635239.0,80655.0,161581.0,1630291.0,82125.0,170884.0,1617225.0,84216.0,181194.0,1602357.0,88232.0,189590.0,1577618.0,90031.0,194639.0,1557087.0,429814.0,197191.0,1531346.0,637212.0,38966.0,630726.0,37609.0,622856.0,37038.0,617045.0,35362.0,605767.0,32593.0,608096.0,30919.0,601942.0,29072.0,596898.0,27828.0,592796.0,28503.0,589858.0,30951.0,587071.0,35337.0,CA-502,6840973.0,6333892.0,6145370.0,5287271.0,5663149.0,4739186.0,36369614.0,39150229.0,40087543.0,57331115.0,51466942.0
Albany County,NY,1011,128,173,838,684,154,0,889.0,96.0,101.0,788.0,661.0,127.0,0.0,734.0,142.0,67.0,667.0,536.0,131.0,0.0,723.0,103.0,49.0,674.0,538.0,136.0,0.0,820.0,116.0,54.0,766.0,622.0,142.0,2.0,750.0,91.0,34.0,716.0,580.0,136.0,0.0,835.0,99.0,35.0,800.0,657.0,143.0,0.0,802.0,82.0,25.0,777.0,644.0,133.0,0.0,748.0,83.0,26.0,722.0,594.0,128.0,0.0,597.0,87.0,20.0,577.0,450.0,127.0,0.0,650.0,81.0,29.0,621.0,470.0,151.0,0.0,1313,1252,1196,1113,1057,1022,993,969,931,,918,20363.0,39144.0,300412.0,21113.0,38700.0,299579.0,19969.0,37608.0,299750.0,17458.0,34996.0,298762.0,18502.0,35070.0,290546.0,17954.0,34570.0,291149.0,17782.0,34919.0,291649.0,18087.0,36325.0,292776.0,18405.0,37749.0,292086.0,18164.0,39349.0,291838.0,78642.0,39373.0,290556.0,147662.0,12959.0,146959.0,14231.0,146137.0,13962.0,145388.0,14634.0,142246.0,14124.0,141553.0,15013.0,140830.0,14822.0,140088.0,14712.0,138448.0,14340.0,138081.0,14630.0,137859.0,14914.0,NY-503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albemarle County,VA,125,13,19,106,92,14,0,191.0,53.0,34.0,157.0,143.0,14.0,0.0,266.0,55.0,26.0,240.0,231.0,9.0,0.0,177.0,65.0,28.0,149.0,144.0,5.0,0.0,188.0,46.0,26.0,162.0,149.0,13.0,0.0,165.0,35.0,26.0,139.0,125.0,14.0,0.0,183.0,41.0,28.0,155.0,134.0,21.0,0.0,160.0,55.0,23.0,137.0,115.0,22.0,0.0,157.0,33.0,22.0,135.0,101.0,34.0,0.0,185.0,33.0,25.0,160.0,113.0,47.0,0.0,204.0,32.0,26.0,178.0,128.0,50.0,0.0,1692,1623,1570,1434,1349,1273,1244,1189,1156,1117,1115,3839.0,8195.0,106857.0,3528.0,7141.0,105469.0,3386.0,7378.0,104000.0,3528.0,7118.0,103408.0,3988.0,7753.0,101147.0,5034.0,9142.0,100293.0,5187.0,9675.0,98891.0,5276.0,9581.0,97587.0,5434.0,9341.0,96448.0,5419.0,9714.0,95348.0,21717.0,9162.0,94466.0,49159.0,3247.0,48360.0,3296.0,47496.0,3465.0,46661.0,3595.0,46235.0,3854.0,45520.0,4024.0,44886.0,4274.0,44391.0,4376.0,43951.0,4520.0,43579.0,4726.0,43128.0,4591.0,VA-504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
