"GEO_ID","NAME","B25111_001E","B25111_001M","B25111_002E","B25111_002M","B25111_003E","B25111_003M","B25111_004E","B25111_004M","B25111_005E","B25111_005M","B25111_006E","B25111_006M","B25111_007E","B25111_007M","B25111_008E","B25111_008M","B25111_009E","B25111_009M","B25111_010E","B25111_010M",
"Geography","Geographic Area Name","Estimate!!Median gross rent!!Total","Margin of Error!!Median gross rent!!Total","Estimate!!Median gross rent!!Total!!Built 2010 or later","Margin of Error!!Median gross rent!!Total!!Built 2010 or later","Estimate!!Median gross rent!!Total!!Built 2000 to 2009","Margin of Error!!Median gross rent!!Total!!Built 2000 to 2009","Estimate!!Median gross rent!!Total!!Built 1990 to 1999","Margin of Error!!Median gross rent!!Total!!Built 1990 to 1999","Estimate!!Median gross rent!!Total!!Built 1980 to 1989","Margin of Error!!Median gross rent!!Total!!Built 1980 to 1989","Estimate!!Median gross rent!!Total!!Built 1970 to 1979","Margin of Error!!Median gross rent!!Total!!Built 1970 to 1979","Estimate!!Median gross rent!!Total!!Built 1960 to 1969","Margin of Error!!Median gross rent!!Total!!Built 1960 to 1969","Estimate!!Median gross rent!!Total!!Built 1950 to 1959","Margin of Error!!Median gross rent!!Total!!Built 1950 to 1959","Estimate!!Median gross rent!!Total!!Built 1940 to 1949","Margin of Error!!Median gross rent!!Total!!Built 1940 to 1949","Estimate!!Median gross rent!!Total!!Built 1939 or earlier","Margin of Error!!Median gross rent!!Total!!Built 1939 or earlier",
"0100000US","United States","920","1","1066","7","1088","3","943","2","892","2","858","3","889","2","915","3","891","3","909","2",
"0500000US01001","Autauga County, Alabama","876","35","864","90","994","196","826","99","748","138","890","119","806","208","720","61","875","439","794","115",
"0500000US01003","Baldwin County, Alabama","882","19","1008","197","986","65","901","53","796","44","805","67","794","171","800","223","806","77","859","78",
"0500000US01005","Barbour County, Alabama","608","34","-","**","480","90","638","89","666","75","525","63","632","84","582","209","536","256","582","96",
"0500000US01007","Bibb County, Alabama","610","49","-","**","766","702","630","179","569","176","570","255","639","234","875","197","435","32","491","122",
"0500000US01009","Blount County, Alabama","609","30","-","**","707","141","675","99","561","49","568","28","445","167","616","78","731","27","569","42",
"0500000US01011","Bullock County, Alabama","570","82","-","**","463","214","633","235","357","360","557","229","-","**","298","504","-","**","939","66",
"0500000US01013","Butler County, Alabama","581","31","134","156","586","137","564","75","520","60","625","37","718","167","579","235","675","332","575","117",
"0500000US01015","Calhoun County, Alabama","634","16","682","25","657","44","640","47","575","18","626","44","638","45","699","63","638","37","666","56",
"0500000US01017","Chambers County, Alabama","664","34","866","34","784","45","669","78","580","87","569","63","707","161","664","37","677","160","608","91",
"0500000US01019","Cherokee County, Alabama","619","51","-","**","633","38","668","213","570","156","594","125","661","161","575","162","622","191","666","95",
"0500000US01021","Chilton County, Alabama","629","41","-","**","657","79","761","121","552","65","613","198","615","331","682","68","653","209","661","173",
"0500000US01023","Choctaw County, Alabama","573","103","-","**","670","49","442","175","496","332","475","53","439","346","762","92","-","**","525","314",
"0500000US01025","Clarke County, Alabama","557","73","-","**","556","75","497","80","673","77","604","73","454","194","650","291","335","185","1021","270",
"0500000US01027","Clay County, Alabama","451","31","-","**","480","121","439","144","410","158","463","399","423","48","467","97","412","48","833","165",
"0500000US01029","Cleburne County, Alabama","604","49","-","**","583","174","708","147","569","83","610","57","404","91","529","270","486","855","703","418",
"0500000US01031","Coffee County, Alabama","676","41","724","3","1018","108","683","47","592","50","577","82","726","88","620","96","549","231","706","164",
"0500000US01033","Colbert County, Alabama","655","31","728","100","729","62","504","56","699","50","587","60","606","80","732","107","712","222","621","125",
"0500000US01035","Conecuh County, Alabama","521","67","-","**","552","253","481","154","395","243","593","139","381","179","844","15","-","**","524","11",
"0500000US01037","Coosa County, Alabama","612","77","-","**","269","271","704","236","510","187","673","157","770","134","640","123","657","269","483","256",
"0500000US01039","Covington County, Alabama","585","26","-","**","559","139","579","113","590","40","523","73","565","103","599","91","661","210","599","47",
"0500000US01041","Crenshaw County, Alabama","507","29","-","**","543","158","715","275","503","131","443","75","475","74","650","427","786","365","587","215",
"0500000US01043","Cullman County, Alabama","621","24","-","**","633","41","664","61","599","54","556","74","644","106","639","57","613","105","580","128",
"0500000US01045","Dale County, Alabama","621","24","1219","298","952","104","579","38","597","58","572","41","673","65","554","96","478","32","606","154",
"0500000US01047","Dallas County, Alabama","564","19","-","**","520","35","583","31","579","23","555","45","515","77","535","124","630","183","704","186",
"0500000US01049","DeKalb County, Alabama","528","17","-","**","550","166","517","24","537","52","513","45","431","82","494","87","596","81","806","181",
"0500000US01051","Elmore County, Alabama","792","38","857","73","973","75","799","55","690","53","713","62","706","523","660","31","797","260","696","67",
"0500000US01053","Escambia County, Alabama","579","21","-","**","536","46","590","35","478","28","597","27","629","77","685","101","659","208","544","136",
"0500000US01055","Etowah County, Alabama","627","17","940","450","755","64","617","51","665","25","549","53","653","70","660","35","593","41","572","47",
"0500000US01057","Fayette County, Alabama","474","38","-","**","658","469","510","123","472","38","206","160","490","136","524","86","433","170","499","272",
"0500000US01059","Franklin County, Alabama","546","24","248","553","523","129","595","147","544","103","527","130","550","48","532","46","573","22","530","23",
"0500000US01061","Geneva County, Alabama","572","25","-","**","507","65","594","59","471","92","634","64","581","79","439","232","1011","766","613","81",
"0500000US01063","Greene County, Alabama","434","111","-","**","710","161","298","115","634","113","281","68","-","**","-","**","-","**","383","166",
"0500000US01065","Hale County, Alabama","442","27","-","**","506","325","470","23","347","191","609","141","383","42","485","103","368","121","555","203",
"0500000US01067","Henry County, Alabama","570","38","-","**","807","274","716","48","533","29","562","74","634","128","470","145","606","555","529","34",
"0500000US01069","Houston County, Alabama","682","8","683","21","828","45","716","33","673","21","665","16","658","37","577","40","538","35","631","76",
"0500000US01071","Jackson County, Alabama","550","24","-","**","708","77","621","45","499","73","552","38","515","90","511","97","572","85","600","310",
