"GEO_ID","NAME","B25002_001E","B25002_001M","B25002_002E","B25002_002M","B25002_003E","B25002_003M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Occupied","Margin of Error!!Total!!Occupied","Estimate!!Total!!Vacant","Margin of Error!!Total!!Vacant",
"0100000US","United States","135393564","8863","118825921","229026","16567643","220852",
"0500000US01001","Autauga County, Alabama","23152","96","21054","387","2098","375",
"0500000US01003","Baldwin County, Alabama","110023","181","76133","1153","33890","1135",
"0500000US01005","Barbour County, Alabama","11918","103","9191","337","2727","301",
"0500000US01007","Bibb County, Alabama","9112","71","6916","308","2196","292",
"0500000US01009","Blount County, Alabama","24161","77","20690","392","3471","396",
"0500000US01011","Bullock County, Alabama","4516","45","3670","204","846","200",
"0500000US01013","Butler County, Alabama","10008","65","7050","313","2958","300",
"0500000US01015","Calhoun County, Alabama","53655","196","45099","742","8556","726",
"0500000US01017","Chambers County, Alabama","16989","57","13694","413","3295","412",
"0500000US01019","Cherokee County, Alabama","16466","61","10795","438","5671","435",
"0500000US01021","Chilton County, Alabama","19518","56","16768","388","2750","376",
"0500000US01023","Choctaw County, Alabama","7329","34","5463","200","1866","194",
"0500000US01025","Clarke County, Alabama","12704","53","9602","271","3102","260",
"0500000US01027","Clay County, Alabama","6797","41","5338","248","1459","244",
"0500000US01029","Cleburne County, Alabama","6781","45","5773","182","1008","182",
"0500000US01031","Coffee County, Alabama","23038","109","19620","343","3418","352",
"0500000US01033","Colbert County, Alabama","26333","61","21983","386","4350","375",
"0500000US01035","Conecuh County, Alabama","7125","27","4716","255","2409","253",
"0500000US01037","Coosa County, Alabama","6527","61","4204","230","2323","227",
"0500000US01039","Covington County, Alabama","18890","83","15285","303","3605","314",
"0500000US01041","Crenshaw County, Alabama","6775","35","5358","156","1417","149",
"0500000US01043","Cullman County, Alabama","37524","103","31097","567","6427","570",
"0500000US01045","Dale County, Alabama","23000","96","18825","409","4175","387",
"0500000US01047","Dallas County, Alabama","20309","72","16487","390","3822","391",
"0500000US01049","DeKalb County, Alabama","31384","105","25482","571","5902","552",
"0500000US01051","Elmore County, Alabama","33798","268","29115","575","4683","494",
"0500000US01053","Escambia County, Alabama","16556","117","13226","381","3330","368",
"0500000US01055","Etowah County, Alabama","47639","104","39061","611","8578","573",
"0500000US01057","Fayette County, Alabama","8453","65","6955","257","1498","252",
"0500000US01059","Franklin County, Alabama","14132","35","11533","334","2599","336",
"0500000US01061","Geneva County, Alabama","12756","51","10693","264","2063","262",
"0500000US01063","Greene County, Alabama","5056","32","3025","223","2031","225",
"0500000US01065","Hale County, Alabama","7753","36","5664","216","2089","217",
"0500000US01067","Henry County, Alabama","9055","57","6727","219","2328","207",
"0500000US01069","Houston County, Alabama","46869","104","39560","359","7309","348",
"0500000US01071","Jackson County, Alabama","25019","71","20368","433","4651","436",
"0500000US01073","Jefferson County, Alabama","306110","393","261390","1741","44720","1719",
"0500000US01075","Lamar County, Alabama","7390","54","6019","247","1371","247",
"0500000US01077","Lauderdale County, Alabama","44537","144","38634","520","5903","535",
"0500000US01079","Lawrence County, Alabama","15347","66","13056","356","2291","354",
"0500000US01081","Lee County, Alabama","67087","226","59001","693","8086","676",
"0500000US01083","Limestone County, Alabama","35859","153","32386","425","3473","443",
"0500000US01085","Lowndes County, Alabama","5158","52","4309","163","849","154",
"0500000US01087","Macon County, Alabama","10264","146","7852","258","2412","202",
"0500000US01089","Madison County, Alabama","157000","263","142253","1289","14747","1211",
"0500000US01091","Marengo County, Alabama","10307","39","7975","303","2332","308",
"0500000US01093","Marion County, Alabama","14811","104","12453","383","2358","367",
"0500000US01095","Marshall County, Alabama","40590","118","34588","510","6002","497",
"0500000US01097","Mobile County, Alabama","182505","406","153794","1166","28711","1223",
"0500000US01099","Monroe County, Alabama","11375","35","8207","298","3168","289",
"0500000US01101","Montgomery County, Alabama","103967","224","89776","893","14191","874",
"0500000US01103","Morgan County, Alabama","51778","182","45904","622","5874","615",
"0500000US01105","Perry County, Alabama","4748","64","3039","212","1709","214",
"0500000US01107","Pickens County, Alabama","9538","85","7620","287","1918","275",
"0500000US01109","Pike County, Alabama","16010","165","12284","369","3726","379",
"0500000US01111","Randolph County, Alabama","12043","78","8867","306","3176","289",
"0500000US01113","Russell County, Alabama","27170","89","22690","526","4480","520",
"0500000US01115","St. Clair County, Alabama","36524","125","32486","467","4038","473",
"0500000US01117","Shelby County, Alabama","85043","145","76868","695","8175","650",
"0500000US01119","Sumter County, Alabama","6833","78","5073","231","1760","223",
"0500000US01121","Talladega County, Alabama","37563","186","31651","519","5912","466",
"0500000US01123","Tallapoosa County, Alabama","22258","89","16369","431","5889","434",
"0500000US01125","Tuscaloosa County, Alabama","89419","192","71507","870","17912","842",
"0500000US01127","Walker County, Alabama","30988","99","25143","575","5845","558",
"0500000US01129","Washington County, Alabama","8481","45","6001","280","2480","278",
"0500000US01131","Wilcox County, Alabama","5709","40","3841","165","1868","165",
"0500000US01133","Winston County, Alabama","13594","53","9439","351","4155","347",
"0500000US02013","Aleutians East Borough, Alaska","1051","150","812","148","239","16",
"0500000US02016","Aleutians West Census Area, Alaska","1980","152","1218","156","762","26",
"0500000US02020","Anchorage Municipality, Alaska","115748","203","106012","864","9736","829",
"0500000US02050","Bethel Census Area, Alaska","5995","65","4524","121","1471","108",
"0500000US02060","Bristol Bay Borough, Alaska","941","40","358","37","583","26",
"0500000US02068","Denali Borough, Alaska","1669","216","678","210","991","53",
"0500000US02070","Dillingham Census Area, Alaska","2444","59","1405","77","1039","42",
"0500000US02090","Fairbanks North Star Borough, Alaska","43866","167","36396","698","7470","708",
"0500000US02100","Haines Borough, Alaska","1619","147","1087","101","532","101",
"0500000US02105","Hoonah-Angoon Census Area, Alaska","1649","78","802","72","847","38",
"0500000US02110","Juneau City and Borough, Alaska","13451","92","12273","224","1178","204",
"0500000US02122","Kenai Peninsula Borough, Alaska","31016","135","21779","421","9237","379",
"0500000US02130","Ketchikan Gateway Borough, Alaska","6310","56","5270","115","1040","93",
"0500000US02150","Kodiak Island Borough, Alaska","5373","46","4538","146","835","136",
"0500000US02158","Kusilvak Census Area, Alaska","2244","57","1752","67","492","34",
"0500000US02164","Lake and Peninsula Borough, Alaska","1406","104","408","104","998","31",
"0500000US02170","Matanuska-Susitna Borough, Alaska","41704","97","30613","290","11091","284",
"0500000US02180","Nome Census Area, Alaska","4082","64","2897","87","1185","60",
"0500000US02185","North Slope Borough, Alaska","2591","176","2041","180","550","66",
"0500000US02188","Northwest Arctic Borough, Alaska","2713","60","1849","79","864","51",
"0500000US02195","Petersburg Borough, Alaska","1828","116","1255","99","573","48",
"0500000US02198","Prince of Wales-Hyder Census Area, Alaska","3411","40","2315","80","1096","74",
"0500000US02220","Sitka City and Borough, Alaska","4175","39","3545","132","630","127",
"0500000US02230","Skagway Municipality, Alaska","654","39","423","42","231","19",
"0500000US02240","Southeast Fairbanks Census Area, Alaska","3915","55","2139","123","1776","113",
"0500000US02261","Valdez-Cordova Census Area, Alaska","6169","47","2849","133","3320","130",
"0500000US02275","Wrangell City and Borough, Alaska","1466","92","1084","69","382","60",
"0500000US02282","Yakutat City and Borough, Alaska","400","27","255","28","145","16",
"0500000US02290","Yukon-Koyukuk Census Area, Alaska","4067","69","1959","81","2108","43",
"0500000US04001","Apache County, Arizona","32748","95","19530","415","13218","413",
"0500000US04003","Cochise County, Arizona","60653","566","49160","859","11493","644",
"0500000US04005","Coconino County, Arizona","64911","534","47588","806","17323","637",
"0500000US04007","Gila County, Arizona","33267","136","21585","591","11682","581",
"0500000US04009","Graham County, Arizona","13348","200","10976","368","2372","295",
"0500000US04011","Greenlee County, Arizona","4445","45","3364","136","1081","133",
"0500000US04012","La Paz County, Arizona","16271","58","8798","509","7473","498",
"0500000US04013","Maricopa County, Arizona","1699628","740","1489533","4577","210095","4493",
"0500000US04015","Mohave County, Arizona","113220","616","83902","1125","29318","1020",
"0500000US04017","Navajo County, Arizona","57638","114","34251","688","23387","681",
"0500000US04019","Pima County, Arizona","453948","549","398530","1970","55418","1960",
"0500000US04021","Pinal County, Arizona","168786","450","133513","1518","35273","1411",
"0500000US04023","Santa Cruz County, Arizona","18185","54","15568","372","2617","371",
"0500000US04025","Yavapai County, Arizona","113915","256","94343","959","19572","934",
"0500000US04027","Yuma County, Arizona","90931","264","71670","818","19261","833",
"0500000US05001","Arkansas County, Arkansas","9454","45","7692","230","1762","231",
"0500000US05003","Ashley County, Arkansas","10152","55","8182","341","1970","330",
"0500000US05005","Baxter County, Arkansas","22803","70","18398","408","4405","402",
"0500000US05007","Benton County, Arkansas","100376","164","90906","757","9470","723",
"0500000US05009","Boone County, Arkansas","16966","73","14887","353","2079","342",
"0500000US05011","Bradley County, Arkansas","5821","54","4566","191","1255","180",
"0500000US05013","Calhoun County, Arkansas","2911","22","2061","125","850","127",
"0500000US05015","Carroll County, Arkansas","13649","44","10832","368","2817","374",
"0500000US05017","Chicot County, Arkansas","5433","69","4323","182","1110","159",
"0500000US05019","Clark County, Arkansas","10494","149","8820","280","1674","223",
"0500000US05021","Clay County, Arkansas","8035","45","6428","204","1607","204",
"0500000US05023","Cleburne County, Arkansas","16008","68","10646","287","5362","298",
"0500000US05025","Cleveland County, Arkansas","4084","50","3292","163","792","158",
"0500000US05027","Columbia County, Arkansas","11625","109","9337","383","2288","384",
"0500000US05029","Conway County, Arkansas","9783","46","8185","236","1598","235",
"0500000US05031","Craighead County, Arkansas","44056","154","39838","583","4218","552",
"0500000US05033","Crawford County, Arkansas","26669","112","23870","437","2799","441",
"0500000US05035","Crittenden County, Arkansas","21696","60","18659","314","3037","306",
"0500000US05037","Cross County, Arkansas","7964","64","6726","194","1238","198",
"0500000US05039","Dallas County, Arkansas","4300","121","3144","200","1156","131",
"0500000US05041","Desha County, Arkansas","6307","33","5230","183","1077","181",
"0500000US05043","Drew County, Arkansas","8575","91","7038","325","1537","310",
"0500000US05045","Faulkner County, Arkansas","49475","178","43835","551","5640","552",
"0500000US05047","Franklin County, Arkansas","8058","45","6862","206","1196","205",
"0500000US05049","Fulton County, Arkansas","6808","35","5117","233","1691","231",
"0500000US05051","Garland County, Arkansas","50834","149","40062","745","10772","721",
"0500000US05053","Grant County, Arkansas","7947","39","6851","216","1096","214",
"0500000US05055","Greene County, Arkansas","18689","84","16821","350","1868","336",
"0500000US05057","Hempstead County, Arkansas","10496","53","7930","364","2566","362",
"0500000US05059","Hot Spring County, Arkansas","14416","90","12291","383","2125","368",
"0500000US05061","Howard County, Arkansas","6260","37","5042","234","1218","229",
"0500000US05063","Independence County, Arkansas","16393","81","14288","414","2105","390",
"0500000US05065","Izard County, Arkansas","7263","96","5189","222","2074","199",
"0500000US05067","Jackson County, Arkansas","7591","185","6179","275","1412","214",
"0500000US05069","Jefferson County, Arkansas","33308","297","27377","607","5931","477",
"0500000US05071","Johnson County, Arkansas","11423","101","9900","265","1523","250",
"0500000US05073","Lafayette County, Arkansas","4369","31","2860","141","1509","142",
"0500000US05075","Lawrence County, Arkansas","7994","63","6584","193","1410","187",
"0500000US05077","Lee County, Arkansas","4369","92","3541","167","828","145",
"0500000US05079","Lincoln County, Arkansas","4914","356","3928","377","986","162",
"0500000US05081","Little River County, Arkansas","6494","47","5300","248","1194","244",
"0500000US05083","Logan County, Arkansas","10173","101","8269","280","1904","264",
"0500000US05085","Lonoke County, Arkansas","28811","78","26281","458","2530","442",
"0500000US05087","Madison County, Arkansas","7550","47","6190","232","1360","225",
"0500000US05089","Marion County, Arkansas","9414","55","6663","289","2751","279",
"0500000US05091","Miller County, Arkansas","19515","90","17020","357","2495","346",
"0500000US05093","Mississippi County, Arkansas","20542","93","17238","404","3304","396",
"0500000US05095","Monroe County, Arkansas","4450","43","3328","171","1122","164",
"0500000US05097","Montgomery County, Arkansas","5823","50","3855","170","1968","164",
"0500000US05099","Nevada County, Arkansas","4575","38","3452","213","1123","217",
"0500000US05101","Newton County, Arkansas","4684","29","3152","194","1532","188",
"0500000US05103","Ouachita County, Arkansas","13095","45","10016","429","3079","421",
"0500000US05105","Perry County, Arkansas","4952","32","3692","193","1260","201",
"0500000US05107","Phillips County, Arkansas","10177","47","7823","316","2354","304",
"0500000US05109","Pike County, Arkansas","5624","40","4313","187","1311","182",
"0500000US05111","Poinsett County, Arkansas","10959","57","9483","214","1476","228",
"0500000US05113","Polk County, Arkansas","10111","47","8058","272","2053","269",
"0500000US05115","Pope County, Arkansas","26103","168","23147","449","2956","454",
"0500000US05117","Prairie County, Arkansas","4528","55","3920","128","608","111",
